hist,bin_edges
1.0000100001e-05,44
1.0000100001e-05,45
5.0000500005e-05,46
6.0000600006e-05,47
0.00010000100001,48
0.00020000200002,49
0.000320003200032,50
0.000430004300043,51
0.000660006600066,52
0.000960009600096,53
0.00140001400014,54
0.0020100201002,55
0.0029700297003,56
0.00414004140041,57
0.00468004680047,58
0.00706007060071,59
0.00915009150092,60
0.0114701147011,61
0.0152201522015,62
0.0188601886019,63
0.0223102231022,64
0.0270002700027,65
0.0315503155032,66
0.0354803548035,67
0.040070400704,68
0.0439104391044,69
0.049720497205,70
0.0522405224052,71
0.0557305573056,72
0.0546905469055,73
0.0567205672057,74
0.0557305573056,75
0.0543505435054,76
0.0524405244052,77
0.0473704737047,78
0.0443304433044,79
0.039880398804,80
0.0334203342033,81
0.0290702907029,82
0.0235502355024,83
0.0189001890019,84
0.0148501485015,85
0.0110301103011,86
0.00841008410084,87
0.00592005920059,88
0.00412004120041,89
0.00283002830028,90
0.00181001810018,91
0.00120001200012,92
0.000610006100061,93
0.000470004700047,94
0.000170001700017,95
0.000170001700017,96
0.000180001800018,97
